aark 蓝牙接收器
adgk 苦逼
afgg 某一
agck 区平台
agdb 欧亚大陆
agfw 七天无理由退货
aggd 某一天
aguw 某一部分
agwh 某一个
aiyy 范文
ajfp 划过
ajyy 蓝方
alfl 世界地图
alhh 世界上
andx 巨龙
aneb 巨乳
anyn 巨鹿
aqng 警情
ashh 基本上
atlt 甘特图
augi 花间一壸酒
ausu 菜单栏
awaq 工作区
awjg 工作量
awju 工作时间
awmp 工作内容
awrt 工作报告
awuk 工信部
aydq 斯诺克
aygm 东方不败
bahk 子节点
banf 隐藏层
bbad 子项
bbod 子类
bbri 孙子兵法
bbsc 子树
bbwu 孩子们
bcgk 取整
bcod 聚类
bcqf 隐马尔可夫
bcqg 隐马尔可夫模型
bcwf 取值
bgjg 也不是
bguj 隔间
bgwf 也不会
bide 也没有
bjfc 阿里云
blqi 出国留学
bmqq 出金
bmyl 出库
bnkc 了吧
bnkn 了呢
bntj 也得
bnvc 也即
boga 函数表达式
bpkh 陆家嘴
bsce 也可能
bsny 也可以
bsov 随机数
bsyj 随机变量
btxw 降维
bufc 联动
bujg 出问题
buym 联调
bwal 取值范围
bwnf 隐含层
bwsy 联合概率
bwud 子欲养而亲不在
byjg 也就是
cbbb 熊孩子
cblf 豫园
cbud 预判
ccce 又能
cfrq 对的
cghh 对不上
ciwf 预测值
cjdw 对影成三人
clfa 预加载
cmhk 观战
cqtf 马尔科夫
crjg 难的是
ctgj 预处理
ctxy 双系统
cwwk 鸡公煲
dbdt 在职研究生
dbfi 布隆过滤
dbfk 布隆过滤器
dbov 奇函数
dcbn 太难了
ddbn 大了
dddg 大厂
dddn 有感而发
ddgi 左右天堂
ddig 万万没想到
ddnu 大屏
ddny 大忙
ddrq 大的
ddry 大大提高
ddvt 大群
ddwf 大佬
ddyb 太感谢了 太感谢您了
degf 有助于
dejf 感受野
dekb 有啊
deud 有着
deut 有道
deyw 有谁
dfim 压测
dftj 压得
dgbb 厨子
dgcm 三观
dggd 三天
dgjg 而不是
dguq 有一次
dgux 古北
dgwh 有一个
dhqq 有点多
dhvj 丰巢
didy 非常感谢
difh 感兴趣
diih 非常小
diut 非常道
dixo 大学毕业
djhn 有监督学习
djog 克里米亚
djrq 大量的
djwm 悲催
dkqt 在哪儿
dlab 三甲医院
dlgd 三四天
dlmd 压力山大
dmbt 布隆
dnsv 有必要
dnww 万人
dopg 大数定理
dorn 大数据
dpgd 三室一厅
dpvb 大家好
dqbn 砍了
drww 成年人
dsce 有可能
dsyx 大概率
dtfl 有向无环图
dtkg 感知器模型
dtkk 感知器
dtpu 磁盘空间
dtra 感知报警
dttr 帮我
dtwq 帮你
dujg 有问题
durh 大半年
dutf 破冰行动
dutg 大半生
duwg 大部分情况下
dwft 存储过程
dwhy 大众点评
dwpf 三分之二
dwtc 有什么
dwty 有什么问题的话
dwyy 大作文
dxnt 非线性
dxwf 龙伟
dycw 太难
dyfl 百度地图
dyih 太小
dyit 太少
dymt 百度网盘
dypn 面试官
dyta 太长
dytd 太短
ebbn 服了
edlu 朋友圈
eebb 月子
efip 脚掌
enqk 甩锅
esfh 彩超
etgg 爱答不理
etum 服务端
eytt 用户特征
fakh 截距
fbqt 地儿
fclg 动车
fcov 超参数
fctg 去重
fcxw 运维
fdfc 城运
fdft 志愿者
fdfv 越大越好
fetk 云服务器
ffaa 零零散散
ffjf 过去时
fflr 垃圾回收机制
fgfc 去不去
fgfk 走下坡路
fgky 干嘛
fguq 二次
fgyw 老豆腐
fhdd 越大
fhfh 走走
fhih 越小
fhit 越少
fhiw 超举
fhjg 真题
fhte 直租
fhvb 越好
fhwg 真命
fhwv 超分
fhxk 越强
fhym 越高
fikk 过滤器
fjhn 无监督学习
fllg 无力回天
fmgk 老同事
fmqs 击杀
fnnt 专属 韧性
forn 元数据
fpjg 填空题
fpqb 无密钥登陆
fpqe 无密钥
fqgk 无事
fqru 超链接
fqsk 无可
fqwd 均匀分布
fqxe 元组
frka 老牛吃嫩草
frln 无所畏惧
frts 支持向量机
frwg 过拟合
fryj 直播课
fsny 都可以
ftgs 过街天桥
ftpn 考官
fttw 运算符
ftut 才知道
ftyg 教主
ftyu 都说
ftyy 远程调试
fwet 起作用
fwod 二分类
fwpg 支付宝
fwpk 支付宝账号
fxyl 索引库
fylt 直方图
fyud 协方差
gagt 开麦
galg 开国
gaud 开头
gauj 开区间
gauq 武将 开奖
gaxg 下划线
gbgq 五险一金
gcbf 亚马逊云
gcbi 亚马逊
gccq 不对劲儿
gcyt 不允许
gddh 不存在
gdjr 不太明白
gdqt 天猫
gdrq 正确的
gduj 不愿意
gdwd 正态分布
gdwu 天龙八部
gegm 靓丽
geqk 表名
gfcq 不喜欢
gfky 不干嘛
gfov 平均数
gfqt 玩儿 一块儿
gfsv 不需要
gfwf 平均值
gfyj 环境变量
ggfg 一二
gggk 一副
ggip 不正常
ggpg 不一定
ggpp 严严实实
ggqv 一键
ggua 一瓶
ggvc 一开始
ggvw 一开始的时候
ggwu 一倍
ggxe 一组
ggxx 环比
ggyn 一遍
ghbj 正阳
ghdy 正态
ghlk 下架
ghlt 下图
ghuf 五点半
ghwg 正例
ghwy 不瞒你说
giaq 天河区
gidh 还在
gidq 不爽
gifc 不去
gigf 现学现卖
gihh 不上
giig 不清
gild 不因
giny 不小心
giqv 不急
gish 还想
giss 不清楚
gitj 还得
giwy 不信
gixg 不纯
gixw 不给
giyi 不就
gjiw 平时没事的时候
gjjy 至暗时刻
gkbw 整除
gkhh 副卡
gkqq 青史留名
gkte 整租
gkwq 带你
glaa 开国功臣
gmmf 两周
gmmq 现网
gmrh 两年
gmrq 不同的
gmww 两人
gmwx 正则化
gngf 开发环境
godx 恶龙
gpaq 静安区
gpcn 一字马
gpff 静安寺
gpgd 一室一厅
gpjq 不容易
gpng 现实以黑白双色呈现
gpsu 与之相关
gpui 开宗立派
gpwg 不安全
gqgq 玩儿玩儿
gqud 残差
gsbn 不要了
gsty 开机自启
gtdy 一般而言
gtng 一般情况下
gtow 五香粉
gtut 不知道
gtyu 一篇文章
gutb 正交矩阵
guwv 一部分
gvfp 不忍直视
gvrw 开始的时候
gwee 一个月
gwgi 一分不少
gwgw 一个一个
gwng 不领情
gwqk 五分钟
gwuk 更何况
gwww 一个人
gxfy 一线城市
gytj 不记得
gywg 不方便
gywj 平方公里
hbov 凸函数
hdgd 上古恶龙
hdul 上古卷轴
hhec 止盈
hhgh 上/下
hhgq 卡死
hhlt 上图
hhpy 上社
hhql 上链
hhrk 止损
hiyt 上海话
hklt 战力
hkpy 战神
hkqt 点儿
hktk 点积
hkxx 占比
hrhd 虚拟桌面
hrsm 虚拟机
hsbo 目标函数
htbn 睡了
htkc 睡吧
hugy 目前来说
hwtw 占位符
iagd 小菜一碟
iaia 满满
iayt 流式计算
ibwx 池化
icjh 水熊虫
icyt 汉庭
idef 没有用武之地
idjg 小龙虾
idns 没有必要
idut 没有关系
idve 洗面奶
idyp 润唇膏
iern 满腔热情
iftr 小动物
ifuk 小卖部
ifym 小城市
ihef 派上用场
ihiy 海上海话
ihrq 小的
iibo 激活函数
iidc 激活码
iiii 淅淅沥沥
iirq 满满的
ijwh 小时候
imnn 注册局
impw 没空
incf 满心欢喜
inyx 学习率
iony 少数民族
ipfa 学霸
ipip 学学
irjw 小的时候
iruj 派单
isbj 沐阳
iqbb 小锤子
isgs 治标不治本
isre 举杯邀明月
isvb 没想好
itga 泛型
itlt 流程图
itqt 活儿
itud 活着
itwx 泛化
ityc 小程序
iuiu 滴滴
ivve 小姐姐
iwnf 池化层
iwwu 小伙伴
iyin 深度学习
iyra 海底捞
iyrx 沪指
iywy 测试集
iyyu 没话说
jbfq 最远
jbmw 电子邮件
jbuk 电子产品
jbwt 电子信息
jctm 竖向
jdlq 电压力锅
jdoy 电磁炉
jdwy 最大似然估计
jfiw 里脊
jfkc 里吗
jflg 电动车
jfrq 最远的
jgfg 题干
jgkc 是吧
jgrx 是指
jgwq 是你
jgwx 归一化
jhin 监督学习
jhwf 早会
jhyy 早该
jifi 最小二乘法
jjak 蚂蚁花呗
jjph 蚂蚁宝卡
jjwk 蚂蚁借呗
jots 电烤箱
jqbn 晚了
jqjq 歇歇
jtft 野生动物
jtpw 量身定做
jtsv 最重要
jtut 映射关系
jufx 时间元组
julg 电瓶车 照章办事
julm 时间轴
junw 时间戳
jurq 最美的
juwd 时间段
jvgg 归一
jwtc 是什么
jwti 时分秒
jyuj 申请单
kahk 叶节点
kaxg 中划线
kddh 顺丰
kfsg 吐槽
kfsv 只需要
kfwt 中场休息
kgyd 另一方面
khai 遗落
khgc 跳到
khhh 跟上
khlf 跳转
khoq 嘴炮
khrq 中的
khtf 跃迁
khwq 跟你
khwy 中信
kjqf 顺时针
kkkk 哔哩哔哩
klww 中国人
kmwl 中山公园
knsg 中心极限定理
krqs 中年危机
ksdh 呆在
ktkt 哦哦
ktrc 吃瓜
ktvc 咱妈
kvsg 哪本
kwqt 中信银行
kyjg 哑变量
lbnf 输出层
lbwf 输出值
ldaq 暂存区
lfdn 转成
lfgf 黑球
lfmm 转山
lfwx 黑化
lfyc 转译
lghh 连不上
lgld 图形界面
lguj 辅音
lgya 加速度
lhrh 四年
ljxe 轻量级
lkgk 回事
lkhk 圆点
lkiu 回滚
lkny 圆心
lkwb 加仓
llkk 累加器
lllj 逻辑回归
lmid 国内源
lphh 连上
lptu 连乘
lqru 软链接
lrib 连接池
ltnf 输入层
ludd 较大
lvxw 男女比例
lwlf 软件园
lwpd 四分之三
lwpg 四分之一
lwtg 图像处理
lxsy 边缘概率
lyjg 因变量
lyng 默认情况下
mdib 内存溢出
mfnx 迪士尼
mgju 同一时间
mgsc 赋权
mgwf 赋值
mgwh 同一个
mhpl 贴军
mkad 贝叶斯
mkag 贝叶斯定理
mmii 山山水水
mqce 风能
mqrp 风控
mrmg 几斤几两
mumq 内部网
naak 异或
nfov 导数
ngfh 买不起
nggf 以至于
nggo 买下来
nigq 懒省事儿
nkev 劈腿
nmnm 刷刷
nmsm 刷机
nnfb 慢慢地
nnfj 快进
nnlo 慢性胃炎
nnwf 属性值
nqdg 悄然而至
nqna 飞鸟尽良弓藏
nsce 尽可能
ntff 必填
ntgf 羽毛球
ntih 发小
nugh 情况下
nulg 买车
nuyn 买房
nvci 心灵鸡汤
nxgy 心比天高
nygi 忙不
ogkr 精听
ojff 爆款
ojrg 爆兵
olsf 火车票
oqoo 火急火燎
orid 数据源
orii 数据清洗
orjg 数据量
orog 数据类型
orrr 数据挖掘
orsw 数据可视化
ortt 数据特征
orws 数据分析
orwy 数据集
orxg 数据线
orxs 数据结构
otff 业务需求
otll 业务逻辑
ouyx 精准率
owgf 类似于
owyt 数值计算
pbhh 实际上
pdkk 寄存器
pfbb 寨子
pfyn 冠词
pgty 写入
phft 视频教程
pift 初学者
pipq 定海神针
pnmq 官网
prhh 实质上
ptyl 被称为
pudg 初三
pufw 补零
purq 之间的
purt 空着手
puug 冠状病毒
puwg 补全
pvhj 安卓
pvwf 初始值
pwkk 容器
pwtf 空行
pwwx 实例化
pxdh 它在
pxfq 神经元
pxjg 它是
pxmx 神经网络
pypy 实话实说
qaaa 多项式
qarq 错的
qdql 金三银四
qdxp 解压缩
qedi 解耦
qeff 解封
qiks 乐呵
qinu 锁屏
qkga 句型
qkpb 错别字
qmwg 负例
qnkk 触发器
qnpn 铲屎官
qqgy 狡兔死走狗烹
qqrf 多多指教
qqwu 多倍
qrwg 欠拟合
qsfu 独酌无相亲
qsqs 钉钉
qssg 负样本
qsya 负梯度
qtfj 猛进
qthh 银行卡
qtjg 多选题
qtoy 狗粮
qtpw 印第安人
qtqa 猜错
qtqs 猎杀
qtqt 逛逛
qult 饼状图
qumd 独立同分布
qvud 急着
qxtk 多线程
qybm 留出
qydh 留在
qyet 鸟用
rahh 的项目
rahk 撒点
rasg 的东西
rbov 反函数
rbqa 报错
rclt 的能力
rcrw 反推
rdbu 排障
rdim 拔测
rdww 所有人
retk 的服务器
rfbn 挂了
rffa 挂载
rflq 势均力匀
rfmj 的规则
