aark 蓝牙接收器
afgg 某一
aggd 某一天
aguw 某一部分
agwh 某一个
alhh 世界上
andx 巨龙
ashh 基本上
augi 花间一壸酒
awaq 工作区
awjg 工作量
aygm 东方不败
bahk 子节点
banf 隐藏层
bbad 子项
bbdx 子龙
bbod 子类
bbsc 子树
bcgk 取整
bcod 聚类
bcqf 隐马尔可夫
bcqg 隐马尔可夫模型
bcwf 取值
bdmw 子龙山人
bgjg 也不是
bguj 隔间
bide 也没有
bnkn 了呢
bnvc 也即
boga 函数表达式
bsny 也可以
bsov 随机数
bsyj 随机变量
btxw 降维
bwal 取值范围
bwnf 隐含层
bwsy 联合概率
bwud 子欲养而亲不在
byjg 也就是
ccce 又能
cfrq 对的
ciwf 预测值
cjdw 对影成三人
clfa 预加载
cqtf 马尔科夫
csih 邓林波
ctgj 预处理
cwwk 鸡公煲
dbov 奇函数
ddbn 大了
ddig 万万没想到
ddpy 大神
ddrq 大的
ddyb 太感谢您了
dejf 感受野
deud 有着
deyw 有谁
dftj 压得
dgcm 三观
dggd 三天
dgjg 而不是
dguq 有一次
dhqq 有点多
didy 非常感谢
difh 感兴趣
diih 非常小
dixo 大学毕业
djff 大昭寺
djhn 有监督学习
djrq 大量的
dkqt 在哪儿
dlgd 三四天
dnww 万人
dopg 大数定理 大数定理
dorn 大数据 大数据
dpaq 泰富苑
dpgd 三室一厅
drww 成年人
dsce 有可能 有可能
dtfl 有向无环图
dtkg 感知器模型
dtkk 感知器
dtpu 磁盘空间
dutg 大半生
duwg 大部分情况下
dwft 存储过程
dwtc 有什么
dwty 有什么问题的话
dxnt 非线性
dyih 太小
dykh 友谊路
esfh 彩超
eytt 用户特征
fakh 截距
fcov 超参数
fcxw 运维
fdfv 越大越好
fenu 赵鹏飞
fetk 云服务器
ffaa 零零散散
fgfc 去不去
fgve 二姐
fhdd 越大
fhih 越小
fhit 越少
fhvb 越好
fhwg 真命
fhxk 越强
fhym 越高
fijg 南海明珠
fikk 过滤器
fioq 赵小焕
fiua 真光新村第七小区41栋502
fjhn 无监督学习
fllg 无力回天
fmaq 南山区
fmmm 南山
fqgk 无事
fqsk 无可
fqwd 均匀分布
fqxe 元组
frts 支持向量机
frwg 过拟合
ftjg 都是
fttw 运算符
ftyu 都说
fwod 二分类
fyai 二房东
fylt 直方图
fyqt 赫高锋
fyud 协方差
gaud 开头
gauj 开区间
gaxg 下划线
gcbf 亚马逊云
gcbi 亚马逊
gccq 不对劲儿
gcyt 不允许
gddh 不存在
gdjr 不太明白
gdqt 天猫
gdrq 正确的
gdwd 正态分布
gfcq 不喜欢
gfky 不干嘛
gfov 平均数
gfqt 一块儿
gfsv 不需要
gfwf 平均值
ggfg 一二
ggtt 开玩笑
ggwu 一倍
ggxe 一组
ggyn 一遍
ghdy 正态
ghlk 下架
ghlt 下图
ghwg 正例 正例
giaq 天河区
gidy 不太
gifc 不去
giig 不清
gijg 不是
gild 不因
giny 不小心
giss 不清楚
gisv 不要 不要
gitj 还得
giwy 不信
gixg 不纯
gixw 不给
giyi 不就
gjiw 平时没事的时候
gkbw 整除
gkte 整租
gkwq 带你
gmrh 两年
gmrq 不同的
gmww 两人
gmwx 正则化
gngw 曹改玲
godx 恶龙
gpcn 一字马
gpgd 一室一厅
gpjq 不容易
gpng 现实以黑白双色呈现
gpsu 与之相关
gqgq 玩儿玩儿
gqud 残差
gtdy 一般而言
gtng 一般情况下
gtut 不知道
gutb 正交矩阵
guwv 一部分
gvgw 曹媛玲
gvrw 开始的时候
gwai 曹伟东
gwee 一个月
gwgi 一分不少
gwgw 一个一个
gwkh 曹合忠
gwww 一个人
gxfy 一线城市
gxgw 曹纪玲
gytj 不记得
gywc 晋文公
gywj 平方公里
hbov 凸函数 凸函数
hdgd 上古恶龙
hh 目
hhlt 上图
hhpy 上社
hiou 上海火车站
hiya 上海市铜川路1781弄真光新村第七小区41栋502
hiyn 上海市普陀区中江路879号天地软件园10栋2楼A云辰信息技术有限公司
hiys 上海市普陀区中江路879号天地软件园10栋2楼A
hktk 点积
hrsm 虚拟机
huqs 上海市普陀区铜川路1781弄真光新村第七小区41栋502
hwtw 占位符
iaia 满满
iayt 流式计算
ibwx 池化
idns 没有必要
idut 没有关系
ifdi 深圳大学
ifie 河南省郑州市中牟县
ifuk 小卖部
ifym 小城市
ihef 派上用场
ihrq 小的
iibo 激活函数
iiii 淅淅沥沥
iili 小小输入法
iily 小小输入法更新个人词
iirq 满满的
ijwh 小时候
incf 满心欢喜
inyx 学习率
ipit 学海
ipwf 党伟
irjw 小的时候
isre 举杯邀明月
isvb 没想好
itqt 活儿
itud 活着
itwx 泛化
iwnf 池化层
iyin 深度学习
iywy 测试集
iyyu 没话说
jbfq 最远
jdwy 最大似然估计
jfrq 最远的
jgrx 是指
jgwx 归一化
jhin 监督学习
jifi 最小二乘法
jqrv 易搜
jtut 映射关系
jurq 最美的
jvgg 归一
jwtc 是什么
kahk 叶节点
kceg 中牟县
kfsv 只需要
kfwt 中场休息
kgyd 另一方面
khgc 跳到
khhh 跟上
khlf 跳转
khwq 跟你
knsg 中心极限定理
kvsg 哪本
kyjg 哑变量
lbnf 输出层
lbwf 输出值
ldaq 暂存区
lfgf 黑球
lflf 转置
lfmm 转山
lfwx 黑化
lgld 图形界面
lhrh 四年
liaq 罗湖区
ljxe 轻量级
lkhk 圆点
lllj 逻辑回归
lmid 国内源
lptu 连乘
lqid 罗湖
lqru 软链接
lrib 连接池
ltnf 输入层
ludd 较大
lwlf 软件园
lwtg 图像处理
lxsy 边缘概率
lyjg 因变量
lyng 默认情况下
mgwf 赋值
mgwh 同一个
mkad 贝叶斯
mkag 贝叶斯定理
mmii 山山水水
mwiy 冈仁波齐
naak 异或
nfov 导数
ngfh 买不起
nggo 买下来
nigq 懒省事儿
nkev 劈腿
nn 快
nnfb 慢慢地
nnwf 属性值
nqdg 悄然而至
nsce 尽可能
ntih 发小
nugh 情况下
olsf 火车票
orii 数据清洗
orjg 数据量
orog 数据类型
orrr 数据挖掘
orsw 数据可视化
ortt 数据特征
orws 数据分析
orwy 数据集
otff 业务需求
ouyx 精准率
owyt 数值计算
pbhh 实际上
pcad 神圣巨龙
pgty 写入
phft 视频教程
pift 初学者
pnmq 官网
prhh 实质上
ptkk 字符串
ptyl 被称为
pufw 补零
purq 之间的
purt 空着手
puwg 补全
pvhj 安卓
pvwf 初始值
pwtf 空行
pxdh 它在
pxfq 神经元
pxmx 神经网络
qaaa 多项式
qarq 错的
qdql 金三银四
qinu 锁屏
qmwg 负例
qqty 印象笔记
qqwu 多倍
qrwg 欠拟合
qsfu 独酌无相亲
qsnt 鲁棒性
qsya 负梯度
qtqa 猜错
qumd 独立同分布
qvfg 邹博
qybm 留出
qyet 鸟用
rbov 反函数
rbqa 报错
rcrw 反推
rfmj 的规则
rfrh 挂掉
rftk 的过程
rgga 打不开
rggo 接下来
rgif 牛顿法
rgtw 制表符
rgvt 岳不群
rhpf 看完
rjkt 的影响
rjuj 的时间
rjwh 的时候
rjyt 打电话
rlwf 返回值
rnsv 所要
rnug 的情况下
rnuk 的情况
rorn 的数据
rqbn 的了
rqjg 的是
rqpb 的名字
rqqg 的钱
rqtq 的名称
rqwx 持久化
rrbo 损失函数
rrgf 白球
rrjg 指的是
rrud 白送
rsfi 的要求
rstw 打标签
rsyi 拉格朗日乘子法
rsyj 拉格朗日
rtrc 的选择
rtrw 执行操作
rttg 的特征
rtvb 挻好
rtwf 插值
rujg 的问题
rujs 的效果
rwet 的作用
rwsf 抢票
rwth 的信息
rwwa 迭代
rxjs 的结果
ryaa 的方式
ryjg 的变量
saas 模式匹配
scwf 权值
sdar 核磁共振
sdwq 极大似然
sdwy 极大似然估计
sewf 极值
sgqd 要不然
sgsv 要不要
shvb 想好
sigf 相当于
siwf 极小值
skin 机器学习
slyw 配置文件
snyy 可以认为
spwx 可视化
srhh 本质上
srwb 模拟仓
ssnd 梦想以彩虹多色绘成
ssov 样本数
stkk 构造器
stwx 标签化
suto 相关系数
suud 标准差
swhk 极值点
swsc 榆树
sygb 梯度下降
sygi 梯度下降法
sypo 概率密度函数
sywd 概率分布
sywf 梯度值
syyw 概率论
tahh 选项卡
tcut 智能音箱
tdag 生成式模型
tdax 生成式对抗网络
tddc 乱码
tdkk 生成器
tdwh 第三个
tfbn 丢了
tfgh 等下
tfrw 物超所值
tfuw 第二部分
tfwh 第二个
tgbg 向下取整
tggo 毛亚亚
tghi 每一步
tgip 很正常
tglf 重置
tgrq 得到的
