abix zabbix
abot about
abov above
accy Accuracy
adam Adam
add add
addn addition
adds address
adgr AdaGrad
admin admin
afte after
aftn afternoon
aftr after
aged aged
agent agent
aico air-core
aifl airflow
alne AlexNet
altt Alt
amos amounts
amot amount
amps zamplus
anaa Anaconda
and and
andd Android
apii API
apol apollo
apri April
aprl April
aran arange
area area
arev area_event
args args
argx argmax
arli archlinux
arra array
assn Assign
augt August
augu August
auju autojump
bala bala
basi batch_size
befr before
begg begining
begn begin
behd behind
beli beeline
belv believe
betn between
bida BigData
big big
bill bill
bin bin
binn bin
bnfn beneficence
book book
boot boot
brca broadcast
brea break
brek break
brif brief
bril briefly
btsp Bootstrap
bugg bug
bulk bulk
calc calc
calo CapsLock
caod caowd1990
card card
care care
cd cd
cedpu procedure
ceil ceil
cene center
cenpg percentage
cent CentOS
ceny century
cerc concern
cercg concerning
cesp process
chac characteristic
chag changing
chas changes
chat chart
chia China
chpo checkpoint
chrs Christmas
cime ciimc_meta
cire CitrixReceiver
city city
clas Classification
class class
clea clear
clel clearly
clho clickhouse
clos close
clpa classpath
clse clickhouse-server
cltl cultural
cluc conclude
clucn conclusion
clucs concludes
clur Cluster
clus Clustering
cmin ciimc_meta_inceptor
cnnn CNN
code code
cofe coffee
colu column
comc common
come come
coms comes
conf conf
config config
conl Convolutional
conv CONV
copy copy
corr record
cost Cost
coua account
cous course
cout count
couy country
cove cover
cpuu CPU
cred credit
cree Create
cret credit
cron crontab
ctrl Ctrl
culi inculcate
cull culturally
cult cultivate
curs cursor
curst security
cuti current_timestamp
cwdo caoweidong
cycl cycle
daba database
daen data_engine
dafr DataFrame
data data
dbea DBeaver
deal deal
debn Debian
dece December
deen Deepin
deep Deep
deft Default
deme device_meta
demo demo
depc dependence
depd depend
depic independence
depit independent
depn Deepin
desc descriptoin
dety district_eventType
devm development
difc difference
difnn confidence
dirn direction
dirt direct
dise Discriminative
divd diversified
divf diversify
divs diversifies
dmpp DMP
dmsc domestic
dnss DNS
dnsys dnsys
dock docker
docker docker
docm document
doco docker-compose
dofi Dockerfile
dog dog
dogs dogs
doid dataObjectID
dola dollar
dolo download
dols dollars
domc domestic
done done
doto downtown
doub double
down down
dpnn Deepin
drac dramatic
dray dramatically
driv drive
drop drop
drot Dropout
drou Dropout
dtye dtype
ducin introduction
durg during
east east
edun education
elas Elasticsearch
elet electricity
emac emacs
emas emacs
emli emacs-lisp
enda agenda
enew enew
ente enter
entg entering
envl environmental
envm environment
equa equal
error error
essl essential
etc etc
evee Evernote
evet event
evit evident
evno Evernote
excel excel
excl excel
exvp ExpressVPN
fale False
fare fare
febr February
feby February
feed feed
feth fetch
ff F
fidnn confidence
fifo firefox
file file
filp profile
filr filter
finc finance
find find
finl finally
finln final
firt first
five five
fiwa firewalld
flag flag
flask flask
flat flat
flcl flowexport2clickhouse
flco confluence
flex flowexport
flin flink
flink flink
flnk flink
floo floor
flor floor
fold folder
folg following
folu unfold
folw follow
fory forty
foti format_time
fouh fourth
fowa firewalld
free free
frid Friday
friy friendly
from from
fumo furthermore
futi from_unixtime
gargr regarding
garr regard
genl generally
geny genymotion
getv get_variable
giha githash
gihu GitHub
gili GitLib
gite gitignore
gitt Git
give give
givn given
glac glance
glag glancing
glbl global
glbn globalization
gnme Gnome
goal goal
goas goals
goog google
govm government
govs governments
gpuu GPU
grah Graph
gral gradual
grap program
grapd programmed
grapg programming
graps programs
gray gradually
gret great
grfa grafana
grpl GreenPlum
guli guideline
gulnr regulation
gvim gvim
gwss WGS84
hado Hadoop
hadp Hadoop
haln Halloween
hash hash
haue exhaust
have have
hbas HBase
head head
heada ahead
heah health
heal health
heit height
heli headline
helo Hello
high high
hise HiveServer2
hive Hive
home home
hosp HotSpot
hous house
hovr hover
html html
http http
hund hundred
idea IDEA
ielt IELTS
inde index
infn information
info INFO
inie initialize
inil initial
inir initializer
init init
inpt Input
intj IntelliJ
intl international
iput input
isss issues
issu issue
iter iter
janu January
jany January
java Java
jawe JavaWeb
jdbc JDBC
jebr JetBrain
jira jira
jobb job
join join
joru job-runner
json json
july July
jump jump
june June
jvmm JVM
kafk Kafka
keeb keep_prob
kerl Kernel
kiba kibana
knwg knowledge
labl label
lare larger
larg large
larr larger
last last
late LaTeX
latr relate
latrd related
layr Layer
lead lead
lean learn
lect lect
lemtm complement
lera Learning_Rate
less less
level level
levl level
lies lies
like like
liky likely
line line
link link
lins linspace
linu Linux
linx Linux
lisg listening
lisn listen
list 
litt least
lnxx Linux
load load
locn location
log log
logc Logistic
logg logging
logs logs
look look
loss Loss
lowt lowest
lstm LSTM
lusti illustrate
mado markdown
mair remain
mairs remains
majo major
majr major
majt majority
make make
manj Manjaro
many many
mapg mapping
mapr Mapreduce
mapt Matplotlib
marc March
mard marked
marh March
mark mark
marr remark
marrb remarkable
match match
matl material
mavn maven
may May
mbts mybatis
mean 
mecl message_class
meda media
meet meet
menl mental
mety message_type
mewh meanwhile
mill million
mint minority
mode mode
modn modern
modt moderate
modu module
mody moderately
mond Monday
more more
morg morning
morl moral
mous mouse
msge message
msgg message
msmc mstmc
msts mstsc
mtdt matadata
munnm communication
myba mybatis
mysl 
name name
naml namely
nams name_scope
natl national
natn nation
nats nats
navt Navicat
ndar ndarray
neay nearly
need needed
nees needs
neti internet
netk Network
next next
ngix nginx
nigh night
ninn nineteen
nlpp NLP
nobo notebook
nohp nohup
noma normal
nomce economic
norl normal
nort north
notb noteble
note note
nove November
novni innovation
nowe northwest
null null
nump NumPy
numr number
nvct Navicat
objt Object
octo October
oero zero
ofli offline
omsh oh-my-zsh
oneh one_hot
onho one_hot
ooke Zookeeper
opecn cooperation
open Operation
openo cooperation
orac Oracle
ordr order
orgg Org
orgn organization
ormo org-mode
orst orderStep
otha another
othr other
ougr outgrow
ouli outline
oulo outlook
oupa outpace
ouun outnumber
ouwe outweight
oval overall
over over
ovfi Overfitting
ovta overtake
padg padding
pand pandas
parat apparent
parc compare
parcg comparing
parcn comparison
parg parenting
parr particular
part parent
pass pass
penib indispensable
perd period
petc compete
petcd competed
petcg competing
petcn competition
petcs competes
pgnn plugin
pgns plugins
phas phase
phon phone
phyl physical
picu picture
ping ping
pipe pipe
pkge package
pkgs packages
plac place
plar placeholder
plas places
pleca complementary
plun plugin
plur plumber
plut plummet
pogr postgre
poin point
poit point
poma postman
poog Pooling
porn portion
porpn proportion
port port
posdc composed
posq postgresql
poud pound
poun pound
pous pounds
powe power
prem Premium
prep Preprocessing
pric comprise
prid prime_id
prin print
pris priorities
prit print
prof proof
proo Pro
puls puls
pupl pupil
pups pupils
push push
pych PyCharm pycharm
pycm PyCharm
pytn Python
quat quality
race race
rank rank
rapd rapid
rapy rapidly
rbmq RabbitMQ
read read
reah reach
recd record
recs recipients
rect recipient
redi Redis
refc reference
regn Regularization
regr Regression
regt regedit
relu RelU
rene ResNet
rept report
rese restore
resl responsibility
ress responsibilities
reue reuse
review review
righ right
rigt right
rise rise
road road
robt Robust
root root
roua around
rous surround
runr runner
rurl rural
same same
satd Saturday
savr Saver
sbin sbin
sblm sublime
scaa Scala
scar scalar
schg schooling
schl school
scic scientific
scma ScrumMaster
scoe scope
scrd describe
scrum Scrum
seah search
secd second
secl secondly
secn section
secr SecureCRT
secy security
seen seen
select select
selt select
senp present
sens sense
sept September
seqs subsequent
serr server Server
sesn Session
seve server
shae shape
shap shape
shar share
shdo ShowDoc
shel shell
shit shift
shod should
shos shows
show show
sign sign
sigt significant
sigy significantly
simr similar
sims similarities
simy similarity
sinc since
sisi insist
sixn sixteen
skle sk-learn
slct select
slil slightly
slip slip
slit slight
smae smaller
smal small
smar smaller
smdd SmartDDI
socl socially
soea southeast
sofx Softmax
